,INDONESIA,,,JAWA,,,Inggris,
702,Apa peran kelapa dalam kuliner NTT?,"Kelapa adalah bahan penting dalam kuliner NTT. Santan kelapa digunakan untuk memasak, memberikan cita rasa khas, dan meningkatkan tekstur hidangan.",,Kepriye perane klapa ing kuliner NTT?,"Kelapa minangka bahan penting ing kuliner NTT. Santan digunakake kanggo masak, menehi rasa sing khas, lan nambah tekstur masakan.",,What is the role of coconut in NTT culinary delights?,"Minangkabau coconut is an important ingredient in NTT culinary delights. Coconut milk is used for cooking kanggo, it adds a distinctive taste, and adds texture to the dish."
703,Apa jenis sayuran lokal yang sering digunakan dalam masakan NTT?,"Sayuran seperti kangkung, bayam, kacang panjang, dan daun singkong adalah jenis sayuran lokal yang sering digunakan dalam masakan NTT.",,Apa jinis sayuran lokal sing asring digunakake ing masakan NTT?,"Sayuran kayata kangkung, bayem, kacang panjang lan godhong singkong minangka jinis sayuran lokal sing asring digunakake ing masakan NTT.",,What types of local vegetables are often used in NTT cooking?,"Vegetables such as kale, spinach, long beans and cassava, minangka, are types of local and foreign vegetables used in NTT dishes."
704,Apa keunikan bumbu-bumbu dalam masakan NTT?,"Bumbu khas NTT meliputi kencur, kunyit, cabe merah, cabe rawit, bawang putih, dan daun jeruk purut, yang memberikan cita rasa pedas, segar, dan khas pada masakan NTT.",,Apa keunikan bumbu masakan NTT?,"Rempah-rempah khas NTT kalebu lengkuas, kunir, cabe abang, cabe rawit, bawang putih lan godhong jeruk purut, sing menehi rasa pedhes, seger lan khas kanggo masakan NTT.",,What is unique about the spices in NTT cooking?,"Typical NTT spices include galangal, turmeric, abang chili, cayenne pepper, garlic and kaffir lime, which add a spicy, fresh and typical NTT cuisine."
705,Apa peran utama bumbu dalam masakan Lombok?,"Bumbu memiliki peran penting dalam masakan Lombok karena memberikan cita rasa khas. Bumbu seperti cabai, bawang merah, bawang putih, kunyit, jahe, dan serai sering digunakan untuk memperkaya rasa masakan.",,Apa peran utama rempah-rempah ing masakan Lombok?,"Rempah-rempah nduweni peran penting ing masakan Lombok amarga menehi rasa sing khas. Rempah-rempah kayata lombok, bawang merah, bawang putih, kunir, jahe lan sereh asring digunakake kanggo nambah rasa masakan.",,What is the main role of spices in Lombok cuisine?,"Nduwen spices play an important role in Lombok cuisine to provide a distinctive taste. Spices like Lombok, shallots, garlic, turmeric, ginger and foreign lemongrass are used to add flavor to kanggo dishes."
706,Apakah ada bahan dasar bumbu rempah-rempah khas Lombok?,"Bumbu rempah-rempah khas Lombok meliputi kemiri, ketumbar, jintan, pala, dan lada. Bumbu-bumbu ini memberikan rasa khas pada masakan Lombok.",,Apa ana bahan dhasar kanggo bumbu khas Lombok?,"Rempah-rempah khas Lombok kalebu kemiri, ketumbar, jinten, pala lan mrica. Rempah-rempah iki menehi masakan Lombok rasa sing khas.",,Are there any basic ingredients for typical Lombok spices?,"Typical Lombok spices include candlenut, coriander, cumin, nutmeg and pepper. These spices give Lombok dishes a distinctive taste."
707,Apa bahan dasar dari gado-gado?,"Gado-gado adalah salad sayur dengan bumbu kacang yang biasanya terdiri dari kacang panjang, tahu, toge, ketimun, dan telur, disajikan dengan lontong atau nasi.",,Apa wae bahan dhasar gado-gado?,"Gado-gado ya iku ulam sayur karo sambel kacang sing biasane isine kacang panjang, tahu, tauge, timun lan endhog, disajikake karo lontong utawa sega.",,What are the basic ingredients of gado-gado?,"Gado-gado is vegetable ulam with peanut sauce, usually filled with long beans, tofu, bean sprouts, cucumber and endhog, served with lontong utawa sega."
708,Apa yang membuat Ayam Betutu istimewa?,"Ayam Betutu istimewa karena bumbunya yang kaya rempah seperti kunyit, lengkuas, jahe, bawang putih, bawang merah, dan cabai yang memberikan rasa khas.",,Apa sing nggawe Ayam Betutu istimewa?,"Ayam Betutu menika istimewa amargi kathah rempah-rempahipun kadosta kunir, lengkuas, jahe, bawang putih, bawang merah lan lombok ingkang ndadosaken rasa ingkang khas.",,What makes Ayam Betutu special?,"Chicken Betutu has special amargi kathah spices and also kathahsta turmeric, galangal, ginger, garlic, shallots and lombok ingkang ndadosaken with a distinctive ingkang taste."
709,Bagaimana proses memasak Ayam Betutu?,"Ayam Betutu dimasak dengan cara diisi dengan bumbu rempah, dibungkus dengan daun pisang, dan kemudian dipanggang dalam waktu yang cukup lama hingga matang dan bumbunya meresap ke dalam daging.",,Kepiye carane masak Ayam Betutu?,"Pitik betutu dimasak kanthi diiseni bumbu, dibungkus godhong gedhang, banjur dibakar nganti suwe nganti mateng lan bumbune nyerep ing daging.",,What is the process of cooking Betutu Chicken?,"Pitik betutu is cooked in kanthi and filled with spices, wrapped in godhong gedhang, banjur is grilled instead of suwe instead of mateng and spiced meat."
710,Apa saja bahan-bahan utama yang digunakan dalam Ayam Betutu?,"Bahan utama Ayam Betutu adalah ayam, bumbu rempah seperti kunyit, lengkuas, jahe, bawang putih, bawang merah, cabai, daun jeruk, dan daun pisang untuk membungkus.",,Apa bahan utama sing digunakake ing Ayam Betutu?,"Bahan utama kanggo Ayam Betutu yaiku pitik, rempah-rempah kayata kunir, lengkuas, jahe, bawang putih, bawang bombay, lombok, godhong jeruk lan godhong gedhang kanggo bungkus.",,What are the main ingredients used in Ayam Betutu?,"The main ingredients for Kanggo Ayam Betutu are pitik, spices like turmeric, galangal, ginger, garlic, onions, chili peppers, orange godhong and godhong gedhang kanggo wrap."
711,Apa makanan pendamping tradisional yang biasanya disajikan dengan Ayam Betutu?,"Nasi, urap (sayuran dengan parutan kelapa), lawar (sayuran yang dicampur dengan daging cincang), dan sambal matah adalah makanan pendamping tradisional yang biasanya disajikan bersama Ayam Betutu.",,Lawuh tradhisional apa sing biasane disedhiyakake karo Ayam Betutu?,"Sega, urap (sayur karo klapa parut), lawar (sayur campur daging cincang), lan sambal matah ya iku lawuh tradhisional kang lumrahé disuguhaké karo Ayam Betutu.",,What traditional side dishes are usually served with Ayam Betutu?,"Sega, urap (vegetables with grated coconut), lawar (vegetables mixed with minced meat), and sambal matah ya iku lawuh are traditionally served with Ayam Betutu."
712,Apa itu makanan awug dan dari daerah mana asalnya?,"Awug adalah makanan tradisional Indonesia, khususnya berasal dari daerah Palembang, Sumatera Selatan.",,Apa panganan awug lan saka ngendi asale?,"Awug ya iku panganan tradhisional Indonésia, utamané asalé saka tlatah Palembang, Sumatra Kidul.",,What is awug food and where does it come from?,"Awug yes is a traditional Indonesian food, mainly from Saka Tlatah Palembang, South Sumatra."
713,Bagaimana cara membuat makanan awug?,"Awug terbuat dari bahan utama seperti tepung beras, kelapa parut, dan gula merah. Tepung beras dan kelapa parut dicampur dengan air, kemudian dimasak hingga mengental. Setelah itu, adonan dimasukkan ke dalam cetakan dan dibentuk, lalu direbus hingga matang.",,Carane nggawe panganan awug?,"Awug digawe saka bahan utama kayata glepung beras, klapa parut lan gula abang. Glepung beras lan klapa parut dicampur banyu, banjur dimasak nganti kenthel. Sawisé iku, campuran kasebut dilebokake ing cetakan lan dibentuk, banjur digodhog nganti mateng.",,How do you make awug food?,"Awug is made from the main ingredients of rice flour, grated coconut and sugar. Glepung rice and grated klapa mixed with banyu, banjur is cooked instead of kenthel. Sawisé is like that, the mixture is put into a mold and shaped, the meat is boiled and then cooked."
714,Apakah awug memiliki tekstur atau rasa khas?,"Ya, awug memiliki tekstur kenyal dan manis karena menggunakan gula merah sebagai salah satu bahan utamanya.",,Apa awug nduweni tekstur utawa rasa sing khas?,"Ya, awug nduweni tekstur kenyal lan legi amarga nggunakake gula abang minangka bahan utama.",,Does awug have a distinctive texture or taste?,"Yes, awug nduweni has a chewy texture and legi amarga using minangka palm sugar as the main ingredient."
715,Bagaimana cara menyajikan awug secara tradisional?,"Awug biasanya disajikan dalam bentuk potongan-potongan, sering kali berbentuk segi empat atau persegi panjang, dan bisa dimakan sebagai makanan penutup atau cemilan.",,Kepiye cara ngladeni awug kanthi cara tradisional?,"Awug biyasane disuguhake kanthi potongan-potongan, asring persegi utawa persegi panjang, lan bisa dipangan minangka panganan cuci mulut utawa cemilan.",,How do you serve awug traditionally?,"Awug biyasane is served with pieces of kanthi, square or rectangular asring, and can be eaten with minangka as a dessert or snack."
716,Apakah awug merupakan makanan yang sering dijumpai sehari-hari atau khusus untuk acara-acara tertentu?,"Awug merupakan makanan yang sering dijumpai sehari-hari di daerah Palembang dan sekitarnya, tetapi juga sering dihidangkan khusus untuk acara-acara istimewa seperti perayaan, upacara adat, atau festival.",,Apa awug minangka panganan sing saben dina asring ditemokake utawa khusus kanggo acara tartamtu?,"Awug ya iku panganan sing saben dina tinemu ing tlatah Palembang lan sakiwa-tengené, nanging uga kerep disuguhake mligi kanggo acara-acara khusus kayata pahargyan, upacara adat utawa riyaya.",,Is awug a food that is often found every day or is it special for certain occasions?,"Awug ya iku snacks sing saben dina tinemu ing tlatah Palembang and sakiwa-tengené, nanging also often disuguhake mligi kanggo special events kayata parahgyan, the traditional ceremony of utawa riyaya."
717,Apakah makanan awug memiliki nilai historis atau budaya di masyarakat Palembang?,"Ya, awug memiliki nilai historis dan budaya di masyarakat Palembang. Makanan ini sering dihidangkan dalam acara-acara adat, perayaan, atau ritual keagamaan di daerah tersebut.",,Apa panganan awug nduweni nilai sejarah utawa budaya ing masyarakat Palembang?,"Ya, awug nduweni nilai sejarah lan budaya ing masyarakat Palembang. Panganan iki asring disedhiyakake ing acara-acara tradisional, perayaan utawa ritual agama ing wilayah kasebut.",,Does awug food have historical or cultural value in Palembang society?,"Yes, awug nduweni historical and cultural values of Palembang society. This foreign food is served at traditional events, celebrations and religious rituals in the region."
718,Dimana tempat penjual rawon di pasuruan?,Rawon terkenal dipasuruan terletak di nguling,,Bakul rawon ing Pasuruan ngendi?,Rawon kang misuwur ing Pasuruan dumunung ing Nguling,,Where is the rawon seller in Pasuruan?,The famous Rawon in Pasuruan is located in Nguling
719,Kamu lebih suka es teler atau es oyen?,Saya lebih suka es oyen karena lebih segar,,Apa sampeyan luwih seneng Es Teler utawa Es Oyen?,Aku luwih seneng es oyen amarga luwih seger,,Do you prefer Es Teler or Es Oyen?,I prefer ice oyen because it is fresher
720,Apa makanan terkenal di kota malang?,Makanan terkenal dikota malang adalah mie bakar celaket,,Apa panganan sing misuwur ing kutha Malang?,Panganan sing misuwur ing kutha Malang yaiku mie bakar celaket,,What is the famous food in Malang city?,A famous food in the city of Malang is celaket grilled noodles
721,Dimana tempat kuliner nusantara di pasuruan?,Tempat kuliner nusantara di pasuruan terletak di pandaan,,Wonten pundi papan kuliner Indonesia ingkang wonten ing Pasuruan?,Panggonan kuliner Indonesia ing Pasuruan dumunung ing Pandaan,,Where are the Indonesian culinary places in Pasuruan?,The Indonesian culinary spot in Pasuruan is located in Pandaan
722,Apa makanan kuliner nusantara yang kamu sukai?,Saya menyukai makanan rendang khas Sumatra Barat,,Apa panganan kuliner Indonesia sing sampeyan senengi?,Aku seneng panganan rendang khas Sumatera Barat,,What Indonesian culinary foods do you like?,I like the typical West Sumatran rendang food
723,Kenapa kamu menyukai bakso cak man?,Saya menyukai bakso cak man karena murah dan rasanya enak,,Kok senengane bakso Cak Man?,Aku seneng bakso Cak Man amarga regane murah lan rasane enak,,Why do you like Cak Man meatballs?,I like Cak Man meatballs because they are cheap and taste delicious
724,Kuliner apa yang belum kamu rasakan?,Saya belum merasakan kuliner khas jepang,,Kuliner apa sing durung sampeyan rasakake?,Aku durung nyicipi kuliner khas Jepang,,What culinary delights have you not tasted?,I haven't tasted typical Japanese culinary delights yet
725,Kenapa kamu sangat menyukai sushi?,Restoran sushi tei dimatos sangat mengengutamakan rasa khas jepangnya,,Kenapa sampeyan seneng banget karo sushi?,Restoran sushi Tei Dimatos ngutamakake rasa Jepang sing unik,,Why do you like sushi so much?,Tei Dimatos sushi restaurant prioritizes its unique Japanese flavors
726,Apa nama restoran ayam geprek yang terpedas dimalang,Restoran ayam geprek terpedas dimalang adalah geprek jhon,,Apa jeneng restoran ayam goreng paling pedhes ing Malang?,Restoran ayam geprek paling pedas ing Malang yaiku Geprek Jhon,,What is the name of the spiciest fried chicken restaurant in Malang?,The spiciest geprek chicken restaurant in Malang is Geprek Jhon
727,Apakah pos ketan legenda beripindah tempat?,Pos ketan legenda sekarang berpindah tempat di suhat,,Apa postingan ketan legendaris wis pindah?,Pos ketan legendaris saiki wis pindah menyang Suhat,,Has the legendary sticky rice post moved?,The legendary sticky rice post has now moved to Suhat
728,Kapan kamu berangkat untuk mencicipi kuliner nusantara?,Saya akan berangkat sabtu pagi untuk pergi ke kuliner nusantara,,Kapan kowe budhal ngrasakake kuliner Indonesia?,Aku bakal budhal Setu esuk menyang kuliner Nusantara,,When are you leaving to taste Indonesian culinary delights?,I will leave Saturday morning to go to the culinary archipelago
729,Makanan khas bondowoso apa?,Bondowoso terkenal dengan tape yang sangat enak,,Apa panganan khas Bondowoso?,Bondowoso terkenal dengan kasetnya yang enak,,What is Bondowoso's typical food?,Bondowoso is famous for its very delicious tape
730,Apakah ayahmu menyukai soto?,Ayahku sangat menyukai soto buatan ibu ku,,Bapakmu seneng soto?,Bapak seneng banget karo sup sing digawe ibu,,Does your father like soto?,My father really likes the soup my mother makes
731,Dimana tempat penjual es degan?,Tempat penjual es degan berada di sigura-gura,,Nang endi sing dodolan es?,Papan dodolan es degan ana ing Sigura-gura,,Where is the place that sells ice?,The place selling degan ice is in Sigura-gura
732,Kenapa kamu sangat menyukai kuliner khas indonesia?,Karena makanannya kental dengan rempah-rempahnya,,Napa sampeyan seneng banget karo kuliner khas Indonesia?,Amarga panganane kenthel karo rempah-rempah,,Why do you really like Indonesian culinary specialties?,Because the food is thick with spices
733,Dimana tempat produksi roti?,Tempat produksi roti terletak di rembang,,Ing endi situs produksi roti?,Lokasi produksi roti ana ing Rembang,,Where is the bread production site?,The bread production site is located in Rembang
734,Apa mie kesukaan ibu mu?,Mie kesukaan ibuku adalah indomie goreng,,Apa mie favorit ibumu?,Mie kesukaan ibuku yaiku indomie goreng,,What is your mother's favorite noodle?,My mother's favorite noodles are fried indomie
735,Dimana kamu membeli cilok daging kemarin?,Saya membeli cilok daging di alun-alun bangil,,wingi tuku cilok daging nang endi?,Aku tuku cilok sapi nang Alun-alun Bangil,,Where did you buy the meat cilok yesterday?,I bought beef cilok at Bangil Square
736,Kenapa kamu lebih menyukai cilok daging dari pada cilok gajih?,Karena saya menyukai makanan yang berbau daging,,Kenapa lebih suka cilok sapi ketimbang cilok sapi?,Amarga aku seneng panganan sing ambune kaya daging,,Why do you prefer beef cilok to beef cilok?,Because I like food that smells like meat
737,Dimana kamu membeli sosis keju itu?,Saya membeli sosis keju di indomaret,,Sampeyan tuku sosis keju ing endi?,Aku tuku sosis keju nang Indomaret,,Where did you buy the cheese sausage?,I bought cheese sausage at Indomaret
738,Kamu menyukai martabak daging sapi atau ayam?,Saya sangat menyukai martabak daging sapi,,Kamu menyukai martabak daging sapi atau ayam?,Aku seneng banget karo martabak daging sapi,,Do you like beef or chicken martabak?,I really like beef martabak
739,Kamu menyukai terang bulan rasa apa?,Saya menyukai terang bulan rasa nanas dan melon,,Kamu menyukai terang bulan rasa apa?,Aku seneng nanas lan melon roso padhang rembulan,,What flavor do you like moonlight?,I love the pineapple and melon flavored moonlight
740,Kamu menyukai roti bakar rasa apa?,Saya menyukai roti bakar rasa coklat dan keju,,Kamu menyukai roti bakar rasa apa?,Aku seneng roti panggang coklat lan keju,,What flavor of toast do you like?,I love chocolate and cheese toast
741,Kamu lebih suka mie indomie atau mie sedap?,Saya lebih suka mie sedap karena bumbunya lebih banyak dari pada indomie,,Kamu lebih suka mie indomie atau mie sedap?,Aku luwih seneng mie sing enak amarga bumbune luwih akeh tinimbang Indomie,,Do you prefer Indomie noodles or delicious noodles?,I prefer delicious noodles because they have more spices than Indomie
742,Dimana tempat penjual makanan siap saji disini?,Tempat penjual makanan siap saji teletak di Tunjungan plaza surabaya,,Dimana tempat penjual makanan siap saji disini?,"Panggonan dodolan panganan siap-siap iku ana ing Tunjungan Plaza, Surabaya",,Where is the place that sells ready-to-eat food here?,"The place selling ready-to-eat food is located at Tunjungan Plaza, Surabaya"
743,Apa makanan cepat saji yang kamu sukai,Saya menyukai makanan cepat saji mcd,,Apa makanan cepat saji yang kamu sukai,Aku seneng panganan cepet mcd,,What fast food do you like?,I love mcd fast food
744,Dimana restoran kfc di pasuruan?,Tempat restoran kfc di pasuruan terletak di pandaan,,Dimana restoran kfc di pasuruan?,Restoran KFC ing Pasuruan dumunung ing Pandaan,,Where is the KFC restaurant in Pasuruan?,The KFC restaurant in Pasuruan is located in Pandaan
745,Apakah nenekmu bisa membuat serabi khas solo?,Nenekku sangat jago membuat makanan serabi khas solo,,Apakah nenekmu bisa membuat serabi khas solo?,Mbahku pinter banget gawe serabi khas Solo,,Can your grandmother make a typical Solo pancake?,My grandmother is very good at making Solo's typical serabi food
746,Apakah kamu mau mencicipi telur masakan ibu ku?,Saya sangat menyukai telur jadi aku mau mencicipi masakan ibu mu,,Apakah kamu mau mencicipi telur masakan ibu ku?,Aku seneng banget karo endhog dadi pengin ngrasakake masakane ibumu,,Do you want to taste my mother's eggs?,I really like eggs so I want to taste your mother's cooking
747,Minuman apa yang belum kamu coba?,Yang belum saya coba adalah minuman mizone,,Minuman apa yang belum kamu coba?,Sing durung tak coba yaiku minuman mizone,,What drink have you not tried?,What I haven't tried is the mizone drink
748,Kenapa kamu sangat menyukai telur?,Telur merupakan sumber gizi yang sangat baik.,,Kenapa sampeyan seneng banget karo endhog?,Endhog minangka sumber nutrisi sing apik banget.,,Why do you like eggs so much?,Eggs are an excellent source of nutrition.
749,Apa masakan khas thailand?,Masakan khas thailand adalah tom yum,,Apa panganan khas Thai?,Masakan khas Thailand yaiku Tom Yum,,What is typical Thai food?,A typical Thai dish is Tom Yum
750,Kenapa telur omega lebih mahal?,Karena telur omega mengandung begitu banyak kandungan yang baik dan bermanfaat untuk kesehatan tubuh.,,Kenapa endhog omega luwih larang?,Amarga endhog omega ngemot akeh bahan sing apik lan migunani kanggo kesehatan awak.,,Why are omega eggs more expensive?,Because omega eggs contain so many good and beneficial ingredients for body health.
751,Lemper terbuat dari apa?,Lemper terbuat dari ketan yang digulung bersama isi daging ayam atau ikan yang telah dibumbui. ,,Lemper digawe saka apa?,Lemper digawe saka ketan sing digulung karo bumbu pitik utawa iwak.,,What is Lemper made of?,Lemper is made from sticky rice rolled with spiced chicken or fish filling.
752,Kuliner luar negeri apa yang ingin kamu coba?,Saya igin mencicipi kuliner khas negara amerika,,Kuliner manca apa sing arep dicoba?,Aku pengin ngrasakake kuliner khas Amerika,,What foreign culinary do you want to try?,I want to taste typical American culinary delights
753,Mangapa kamu sangat menyukai nasi goreng?,Karena nasi goreng solaria sangat enak tetapi sangat mahal,,Kok senengane sego goreng?,Amarga sega goreng solaria iku enak banget nanging larang banget,,Why do you like fried rice so much?,Because solaria fried rice is very tasty but very expensive
754,Dimana kamu menjual makaroni buatam mu?,Saya menjual makaroni pedas ke kota kota besar,,Ing endi sampeyan adol makaroni krasan?,Aku dodol makaroni pedhes menyang kutha gedhe,,Where do you sell your homemade macaroni?,I sell spicy macaroni to big cities
755,Berapa harga ayam pok pok itu?,Harga ayam pok pok ialah 19 ribu,,Pitik pok pok regane pira?,Regane pitik pok pok 19 ewu,,How much is the pok pok chicken?,The price of pok pok chicken is 19 thousand
756,Dimana tempat kamu membeli bakmia kesukaan mu?,Bakmi kesukaan ku terletak di jalan sudirman,,Kowe tuku bakmia favorit ning endi?,Mie favoritku ana ing Jalan Sudirman,,Where do you buy your favorite bakmia?,My favorite noodle is located on Jalan Sudirman
757,Soto apa yang kamu sukai?,Saya sangat menyukai soto babat,,Sup apa sing sampeyan senengi?,Aku pancene seneng sup babat,,What soup do you like?,I really like tripe soup
758,Kamu pergi ke kuliner bersama siapa?,Saya pergi ke kuliner bersama adik saya,,Kowe dolan kuliner karo sapa?,Aku karo adhiku lunga menyang kuliner,,Who do you go to culinary with?,I went to culinary with my sister
759,Makanan laut apa yang kamu sukai?,Saya sangat menyukai kerang dan kepiting,,Apa panganan laut sing sampeyan senengi? ,Aku pancene seneng clams lan crab,,What seafood do you like?,I really like clams and crab
760,Tempat lalapan terenak di pasuan apa?,Tempat lalapan terenak dipasuruan adalah lalapan cabang purnama,,Apa panggonan paling apik kanggo sayuran seger ing tentara?,Panggonan paling apik kanggo sayuran seger ing Pasuruan yaiku sayuran seger cabang rembulan,,What is the best place for fresh vegetables in the army?,The best place for fresh vegetables in Pasuruan is the full moon branch fresh vegetables
761,Kenapa kamu menyukai salmon mentah?,Salmon mentah kaya akan vitamin D yang berperan penting dalam menjaga kesehatan tulang dan sistem kekebalan tubuh,,Kenapa sampeyan seneng salmon mentah?,Salmon mentah sugih ing vitamin D sing nduweni peran penting kanggo njaga kesehatan balung lan sistem kekebalan,,Why do you like raw salmon?,Raw salmon is rich in vitamin D which plays an important role in maintaining healthy bones and the immune system
762,Ibumu menyukai ayam bumbu apa?,Ibukku menyukai ayam bumbu laos,,Pitik bumbu apa sing disenengi ibumu?,Ibuku senengane pitik bumbu Laos,,What kind of spiced chicken does your mother like?,My mother likes Laotian spiced chicken
763,Apa makanan terenak yang terbuat dari udang?,Makanan terenak yag terbuat dari udang adalah udang keju,,Apa panganan sing paling enak sing digawe saka udang? ,Panganan sing paling enak digawe saka udang yaiku udang keju,,What is the tastiest food made from shrimp?,The most delicious food made from shrimp is cheese shrimp
764,Tahu tek merupakan makanan khas mana?,Tahu tek merupakan makanan khas kota surabaya,,Apa panganan khas Tahu Tek?,Tahu tek iku panganan khas kutha Surabaya,,Which specialty food is Tahu Tek?,Tahu tek is a typical food of the city of Surabaya
765,Apakah di surabaya ada tempat kuliner khas luar negeri?,Tempat kuliner khas luar negeri di surabaya terletak di jalan bromo,,Apa ana papan kuliner manca ing Surabaya?,Panggonan kuliner khas manca ing Surabaya dumunung ing Jalan Bromo,,Are there any foreign culinary places in Surabaya?,A typical foreign culinary place in Surabaya is located on Jalan Bromo
766,Kenapa es oyen di samping pasar bangil rame?,Karena rasanya yang sangat enak dan banyak susunya,,Es Oyen neng pinggir pasar Bangil kok rame banget?,Amarga rasane enak banget lan akeh susu,,Why is Es Oyen next to the Bangil market so busy?,Because it tastes very good and has lots of milk
767,Apa makanan kesukaan pacar mu?,Makanan khas kesukaan pacarku adalah soto lamongan,,Apa panganan favorit pacarmu?,Soto lamongan sing paling disenengi pacarku,,What is your girlfriend's favorite food?,My girlfriend's favorite specialty food is soto lamongan
768,Apa hidangan khas yang unik dari Flores?,"""Sate Kepala Kerbau"" adalah hidangan khas yang unik dari Flores.",,Apa khasiat khas Flores?,Sate Kepala Kerbau minangka sajian khas khas Flores.,,What are the unique specialties of Flores?,Buffalo Head Satay is a unique specialty dish from Flores.
769,"Bagaimana cara menyajikan ""Ayam Betutu"" dengan gaya yang berbeda?","Ayam Betutu, hidangan khas Bali, bisa disajikan dengan beragam bumbu untuk menciptakan variasi rasa.",,"Kepiye cara ngladeni ""Ayam Betutu"" kanthi macem-macem gaya?","Ayam Betutu, masakan khas Bali, saged dipunsajiaken kanthi maneka warni bumbu kangge damel maneka warni rasa.",,"How to serve ""Ayam Betutu"" in different styles?","Ayam Betutu, a typical Balinese dish, can be served with a variety of spices to create a variety of flavors."
770,Apa makanan yang jarang dikenal di Indonesia namun layak dicoba?,"""Dendeng Balado Belut"" adalah hidangan jarang dikenal yang menggunakan belut sebagai bahan utama.",,Panganan apa sing arang dikenal ing Indonesia nanging patut dicoba?,Dendeng Balado Belut iku panganan sing arang dikenal sing nggunakake welut minangka bahan utama.,,What food is rarely known in Indonesia but worth trying?,Dendeng Balado Eel is a rarely known dish that uses eels as the main ingredient.
771,Apa hidangan tradisional yang kurang dikenal di Kalimantan?,"""Ketupat Kandangan"" adalah hidangan tradisional yang kurang dikenal di Kalimantan Selatan.",,Apa panganan tradisional sing kurang dikenal ing Kalimantan?,Ketupat Kandangan iku panganan tradhisional sing ora kondhang ing Kalimantan Kidul.,,What are some lesser known traditional dishes in Kalimantan?,Ketupat Kandangan is a little-known traditional dish in South Kalimantan.
772,"Apa yang membuat ""Brekecek"" berbeda dari hidangan pedas lainnya?",Brekecek adalah hidangan pedas khas Aceh yang menggunakan bahan unik seperti belimbing wuluh dan keluak.,,"Apa bedane ""Brekecek"" karo masakan pedhes liyane?",Brekecek yaiku masakan Aceh pedhes sing nggunakake bahan-bahan unik kayata belimbing lan keluak.,,"What makes ""Brekecek"" different from other spicy dishes?",Brekecek is a spicy Acehnese dish that uses unique ingredients such as starfruit and keluak.
773,Hidangan apa yang wajib saya coba ketika berkunjung ke Makassar,Coto Makassar adalah hidangan yang wajib anda coba ketika berkunjung ke Makassar,,Masakan apa sing kudu dakcoba nalika ngunjungi Makassar?,Coto Makassar minangka panganan sing kudu sampeyan coba nalika ngunjungi Makassar,,What dishes should I try when visiting Makassar?,Coto Makassar is a dish that you must try when visiting Makassar
774,Apa makanan yang paling menggugah selera di musim panas?,"Makanan yang paling menggugah selera di musim panas bisa berupa es krim, salad buah segar, atau barbekyu.",,Apa panganan sing paling nyenengake ing mangsa panas?,"Panganan sing paling nyenengake ing mangsa panas bisa dadi es krim, salad buah seger utawa nyebar.",,What is the most appetizing food in summer?,"The most appetizing foods in summer can be ice cream, fresh fruit salad or barbecue."
775,Apa makanan penutup yang cocok untuk penggemar cokelat?,Penggemar cokelat mungkin suka brownies,,Apa panganan cuci mulut sing sampurna kanggo penggemar coklat?,Penggemar coklat bisa uga seneng brownies,,What is the perfect dessert for chocolate fans?,Chocolate lovers may love brownies
776,Apa hidangan sarapan favorit Anda?,Hidangan sarapan favorit saya adalah telur dadar dengan roti panggang.,,Apa sajian sarapan favoritmu?,Sajian sarapan favoritku yaiku omelet karo roti panggang.,,What's your favorite breakfast dish?,My favorite breakfast dish is omelet with toast.
777,Apa makanan yang cocok untuk sarapan sehat?,Sarapan sehat dapat terdiri dari buah-buahan atau telur rebus dengan sayuran.,,Panganan apa sing cocog kanggo sarapan sehat?,Sarapan sehat bisa kalebu woh utawa endhog rebus karo sayuran.,,What foods are suitable for a healthy breakfast?,A healthy breakfast can consist of fruit or boiled eggs with vegetables.
778,Apa makanan khas dari negaramu?,"Di Indonesia, makanan khasnya adalah nasi goreng.",,Apa panganan khas saka negara sampeyan?,"Ing Indonesia, panganan sing khas yaiku sega goreng.",,What is the typical food from your country?,"In Indonesia, the typical food is fried rice."
779,Apa makanan khas musim dingin?,Makanan khas musim dingin termasuk sup dan bubur,,Apa panganan musim dingin sing khas?,Panganan musim dingin sing khas kalebu sup lan bubur,,What are typical winter foods?,Typical winter foods include soups and porridge
780,Apa makanan yang cocok untuk orang yang diet?,Makanan yang cocok untuk orang yang diet adalah salad,,Panganan apa sing cocog kanggo wong sing diet?,Panganan sing cocog kanggo wong sing diet yaiku salad,,What foods are suitable for people on a diet?,A food that is suitable for people on a diet is salad
781,Apa makanan ringan favorit Anda?,Makanan ringan favorit saya adalah kentang goreng.,,Apa cemilan favoritmu?,Cemilan favoritku yaiku kentang goreng.,,What's your favorite snack?,My favorite snack is French fries.
782,Apa saus yang paling cocok untuk daging panggang?,Saus yang cocok untuk daging panggang adalah saus barbekyu.,,Apa saus sing paling apik kanggo daging panggang?,Saus sing cocok kanggo daging panggang yaiku saus barbecue.,,What is the best sauce for grilled meat?,A suitable sauce for grilled meat is barbecue sauce.
783,Apa makanan penutup yang populer di Indonesia?,Makanan penutup populer di Indpnesia adalah serabi,,Apa panganan cuci mulut sing populer ing Indonesia?,Panganan sing populer ing Indonesia yaiku serabi,,What are popular desserts in Indonesia?,A popular dessert in Indonesia is serabi
